"option_name","bytes"
"thumbnail_size_h","3"
"medium_size_w","3"
"medium_size_h","3"
"large_size_h","3"
"comment_order","3"
"page_on_front","3"
"medium_large_size_w","3"
"woocommerce_allowed_countries","3"
"woocommerce_enable_coupons","3"
"woocommerce_currency","3"
"woocommerce_enable_ajax_add_to_cart","3"
"woocommerce_enable_reviews","3"
"woocommerce_enable_review_rating","3"
"woocommerce_manage_stock","3"
"menu_icons_review_flag","2"
"posts_per_rss","2"
"woocommerce_api_enabled","2"
"woocommerce_queue_flush_rewrite_rules","2"
"default_product_cat","2"
"pum_total_open_count","2"
"close_comments_days_old","2"
"comments_per_page","2"
"WPLANG","2"
"menu_icons_logger_flag","2"
"menu_icons_translate_flag","2"
"woocommerce_default_country","2"
"woocommerce_calc_taxes","2"
"woocommerce_cart_redirect_after_add","2"
"woocommerce_weight_unit","2"
"woocommerce_dimension_unit","2"
"woocommerce_hide_out_of_stock_items","2"
"woocommerce_prices_include_tax","2"
"woocommerce_tax_round_at_subtotal","2"
"woocommerce_shipping_cost_requires_address","2"
"woocommerce_shipping_debug_mode","2"
"woocommerce_force_ssl_checkout","2"
"woocommerce_unforce_ssl_checkout","2"
"users_can_register","1"
"start_of_week","1"
"use_balanceTags","1"
"use_smilies","1"
"require_name_email","1"
"pum_files_writeable","1"
"comments_notify","1"
"_pum_writeable_notice_dismissed","1"
"rss_use_excerpt","1"
"pum_db_ver","1"
"default_category","1"
"product-variations-swatches-for-woocommerce_start_use","1"
"moderation_notify","1"
"pum_seen_welcome","1"
"woocommerce_thumbnail_cropping_custom_height","1"
"_pum_installed","1"
"hack_file","1"
"comment_max_links","1"
"gmt_offset","1"
"default_email_category","1"
"comment_whitelist","1"
"use_trackback","1"
"uploads_use_yearmonth_folders","1"
"blog_public","1"
"default_link_category","1"
"show_avatars","1"
"avatar_rating","1"
"thumbnail_crop","1"
"thread_comments","1"
"thread_comments_depth","1"
"page_for_posts","1"
"default_post_format","1"
"link_manager_enabled","1"
"finished_splitting_shared_terms","1"
"site_icon","1"
"medium_large_size_h","1"
"show_comments_cookies_opt_in","1"
"fresh_site","1"
"woof_first_init","1"
"woof_set_automatically","1"
"woof_autosubmit","1"
"woof_show_count","1"
"woof_show_count_dynamic","1"
"woof_hide_dynamic_empty_pos","1"
"woof_try_ajax","1"
"woof_checkboxes_slide","1"
"woof_hide_red_top_panel","1"
"woof_sort_terms_checked","1"
"yith_plugin_fw_promo_2019_bis","1"
"woocommerce_thumbnail_cropping_custom_width","1"
"woocommerce_price_thousand_sep","1"
"woocommerce_price_decimal_sep","1"
"woocommerce_price_num_decimals","1"
"woocommerce_notify_no_stock_amount","1"
"berocket_filter_open_wizard_on_settings","1"
"wc_admin_last_orders_milestone","1"
"blogdescription","0"
"default_pingback_flag","0"
"comment_moderation","0"
"category_base","0"
"comment_registration","0"
"upload_path","0"
"tag_base","0"
"upload_url_path","0"
"image_default_size","0"
"image_default_align","0"
"close_comments_for_old_posts","0"
"page_comments","0"
"timezone_string","0"
"wp_page_for_privacy_policy","0"
"woof_filter_btn_txt","0"
"woof_reset_btn_txt","0"
"woocommerce_shop_page_display","0"
"theme_switched","0"
"woocommerce_ship_to_countries","0"
"woocommerce_stock_format","0"
"berocket_current_displayed_notice","0"
"woocommerce_tax_classes","0"
"woocommerce_price_display_suffix","0"
"tnsetting_footerconent","0"
